Mutation Rate,Generations,Bucket,Final Distance
0.015,10000,10000.0,62.50068521020145
0.015,10000,10000.0,61.70347226797816
0.015,10000,10000.0,69.338782016787
0.015,10000,10000.0,61.54755147000958
0.015,10000,10000.0,61.54755147000958
0.015,10000,10000.0,68.06337541800195
0.015,10000,10000.0,62.50068521020145
0.015,773,700.0,57.72949186024219
0.015,10000,10000.0,64.23148241694987
0.015,10000,10000.0,65.62792048041806
0.015,10000,10000.0,60.521922936071356
0.015,10000,10000.0,61.39336206344669
0.015,158,100.0,57.72949186024219
0.015,10000,10000.0,60.521922936071356
0.015,319,300.0,57.72949186024219
0.015,252,200.0,57.72949186024219
0.015,453,400.0,57.723008910923085
0.015,10000,10000.0,62.50068521020145
0.015,10000,10000.0,60.521922936071356
0.015,10000,10000.0,61.39336206344669
0.015,344,300.0,57.8556470623422
0.015,10000,10000.0,68.06337541800195
0.015,10000,10000.0,68.06337541800195
0.015,10000,10000.0,58.17195395174608
0.015,10000,10000.0,60.521922936071356
0.015,5922,5900.0,57.8556470623422
0.015,10000,10000.0,63.42334873168369
0.015,118,100.0,57.72949186024219
0.015,10000,10000.0,62.50068521020145
0.015,9692,9600.0,57.8556470623422
0.015,1692,1600.0,57.723008910923085
0.015,10000,10000.0,63.42334873168369
0.015,188,100.0,57.723008910923085
0.015,10000,10000.0,69.338782016787
0.015,10000,10000.0,64.23148241694987
0.015,952,900.0,57.72949186024219
0.015,10000,10000.0,73.36689999991785
0.015,10000,10000.0,72.28408732116553
0.015,10000,10000.0,63.42334873168369
0.015,10000,10000.0,61.33700209275199
0.015,10000,10000.0,63.42334873168369
0.015,1767,1700.0,57.72949186024219
0.015,10000,10000.0,63.36064773929253
0.015,135,100.0,57.72949186024219
0.015,6469,6400.0,57.79919873160181
0.015,10000,10000.0,58.17195395174608
0.015,290,200.0,57.72949186024219
0.015,10000,10000.0,61.39336206344669
0.015,10000,10000.0,65.62792048041806
0.015,10000,10000.0,62.50068521020145
0.015,10000,10000.0,71.21370691804496
0.015,291,200.0,57.72949186024219
0.015,10000,10000.0,58.17195395174608
0.015,10000,10000.0,69.66580675903614
0.015,10000,10000.0,63.42334873168369
0.015,10000,10000.0,63.42334873168369
0.015,9290,9200.0,57.72949186024219
0.015,10000,10000.0,63.42334873168369
0.015,123,100.0,57.72949186024219
0.015,1199,1100.0,57.72949186024219
0.015,10000,10000.0,58.17195395174608
0.015,169,100.0,57.79919873160181
0.015,10000,10000.0,63.42334873168369
0.015,1242,1200.0,57.72949186024219
0.015,10000,10000.0,60.521922936071356
0.015,10000,10000.0,68.06337541800195
0.015,10000,10000.0,64.23148241694987
0.015,1823,1800.0,57.723008910923085
0.015,3241,3200.0,57.72949186024219
0.015,10000,10000.0,62.50068521020145
0.015,6170,6100.0,57.72949186024219
0.015,10000,10000.0,61.39336206344669
0.015,10000,10000.0,68.06337541800195
0.015,114,100.0,57.79919873160181
0.015,3196,3100.0,57.72949186024219
0.015,6710,6700.0,57.72949186024219
0.015,677,600.0,57.72949186024219
0.015,10000,10000.0,63.42334873168369
0.015,5387,5300.0,57.72949186024219
0.015,10000,10000.0,68.48916820729843
0.015,10000,10000.0,61.70347226797816
0.015,10000,10000.0,63.42334873168369
0.015,10000,10000.0,61.39336206344669
0.015,10000,10000.0,58.17195395174608
0.015,10000,10000.0,60.521922936071356
0.015,10000,10000.0,67.2865408445647
0.015,10000,10000.0,58.17195395174608
0.015,10000,10000.0,68.72806450733468
0.015,10000,10000.0,58.17195395174608
0.015,903,900.0,57.8556470623422
0.015,10000,10000.0,65.03492330005302
0.015,8743,8700.0,57.72949186024219
0.015,7080,7000.0,57.8556470623422
0.015,10000,10000.0,60.521922936071356
0.015,10000,10000.0,61.54755147000958
0.015,10000,10000.0,58.17195395174608
0.015,284,200.0,57.72949186024219
0.015,412,400.0,57.723008910923085
0.015,10000,10000.0,61.70347226797816
0.015,10000,10000.0,63.42334873168369
0.015,10000,10000.0,67.66037224817394
0.015,10000,10000.0,61.39336206344669
0.015,6976,6900.0,57.723008910923085
0.015,10000,10000.0,62.50068521020145
0.015,10000,10000.0,68.06337541800195
0.015,10000,10000.0,61.39336206344669
0.015,10000,10000.0,58.17195395174608
0.015,153,100.0,57.8556470623422
0.015,10000,10000.0,60.521922936071356
0.015,10000,10000.0,63.092402448586896
0.015,10000,10000.0,63.42334873168369
0.015,379,300.0,57.72949186024219
0.015,10000,10000.0,60.521922936071356
0.015,2632,2600.0,57.72949186024219
0.015,10000,10000.0,58.17195395174608
0.015,10000,10000.0,58.17195395174608
0.015,10000,10000.0,62.50068521020145
0.015,10000,10000.0,62.50068521020145
0.015,10000,10000.0,68.06337541800195
0.015,242,200.0,57.79919873160181
0.015,1618,1600.0,57.72949186024219
0.015,3256,3200.0,57.72949186024219
0.015,4013,4000.0,57.723008910923085
0.015,2627,2600.0,57.72949186024219
0.015,10000,10000.0,67.19121957474195
0.015,401,400.0,57.72949186024219
0.015,10000,10000.0,58.17195395174608
0.015,10000,10000.0,61.54755147000958
0.015,10000,10000.0,68.06337541800195
0.015,10000,10000.0,63.42334873168369
0.015,2511,2500.0,57.723008910923085
0.015,1553,1500.0,57.8556470623422
0.015,650,600.0,57.72949186024219
0.015,157,100.0,57.931836883020914
0.015,10000,10000.0,68.06337541800195
0.015,10000,10000.0,65.03492330005302
0.015,806,800.0,57.8556470623422
0.015,151,100.0,57.79919873160181
0.015,7864,7800.0,57.79919873160181
0.015,225,200.0,57.8556470623422
0.015,10000,10000.0,58.17195395174608
0.015,10000,10000.0,63.42334873168369
0.015,10000,10000.0,67.40671119061292
0.015,10000,10000.0,61.33700209275199
0.015,4116,4100.0,57.723008910923085
0.015,396,300.0,57.72949186024219
0.015,10000,10000.0,62.50068521020145
0.015,10000,10000.0,60.70277021925143
0.015,10000,10000.0,62.50068521020145
0.015,498,400.0,57.79919873160181
0.015,4242,4200.0,57.72949186024219
0.015,10000,10000.0,60.521922936071356
0.015,10000,10000.0,63.42334873168369
0.015,10000,10000.0,58.17195395174608
0.015,798,700.0,57.723008910923085
0.015,1520,1500.0,57.723008910923085
0.015,9810,9800.0,57.723008910923085
0.015,10000,10000.0,60.521922936071356
0.015,10000,10000.0,61.54755147000958
0.015,1688,1600.0,57.79919873160181
0.015,10000,10000.0,58.17195395174608
0.015,1000,1000.0,57.79919873160181
0.015,10000,10000.0,60.70277021925143
0.015,6840,6800.0,57.72949186024219
0.015,1390,1300.0,57.72949186024219
0.015,320,300.0,57.931836883020914
0.015,1064,1000.0,57.72949186024219
0.015,10000,10000.0,61.70347226797816
0.015,2420,2400.0,57.723008910923085
0.015,10000,10000.0,68.26397532384071
0.015,560,500.0,57.72949186024219
0.015,10000,10000.0,62.50068521020145
0.015,119,100.0,57.72949186024219
0.015,1015,1000.0,57.8556470623422
0.015,10000,10000.0,68.06337541800195
0.015,7900,7900.0,57.723008910923085
0.015,712,700.0,57.72949186024219
0.015,10000,10000.0,68.72806450733468
0.015,1226,1200.0,57.8556470623422
0.015,10000,10000.0,72.39193471053918
